Construct	RawFACS	NormFACS	RawDNA	NormDNA	RawRNA	NormRNA	TxnLevl	YFP2mCherry	NonZeroBins	TotalFacsReads
YPL242C|chrXVI;95185;95109|WT	0;1;168;115;0;0;1;1;0;295;368	0.000;0.501;168.000;83.606;0.000;0.000;0.574;0.598;0.000	295	15.160	368	37.861	2.497	0.346	5	253.279
YDR490C|Spar_4;1412098;1411994|WT	11;108;58;5;972;5247;1488;2;2;1606;1025	6.160;54.057;58.000;3.635;693.996;3118.249;854.350;1.197;1.363	1606	82.529	1025	105.455	1.278	0.731	9	4791.007
YOR380W|chrXV;1051258;1051289|WT	0;0;0;6;17;0;0;0;0;6;0	0.000;0.000;0.000;4.362;12.138;0.000;0.000;0.000;0.000	6	0.308	0	0.000	0.000	0.591	2	16.5
YLR125W|Spar_12;376475;376516|WT	1;0;0;11;13;69;12;0;0;91;0	0.560;0.000;0.000;7.997;9.282;41.006;6.890;0.000;0.000	91	4.676	0	0.000	0.000	0.690	5	65.735
YPL143W|Spar_16;307184;307204|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YKR080W|Spar_11;604668;604726|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YBR229C|Spar_2;659235;659218|WT	0;0;0;0;0;18;41;11;17;23;83	0.000;0.000;0.000;0.000;0.000;10.697;23.541;6.581;11.582	23	1.182	83	8.539	7.224	0.887	4	52.401
YDR380W|chrIV;1234112;1234217|1234194,1234215,AAG,CGACGA	10;9;2497;3838;578;6;4;2;1;4463;5736	5.600;4.505;2497.000;2790.267;412.685;3.566;2.297;1.197;0.681	4463	229.345	5736	590.136	2.573	0.394	9	5717.798
YDR138W|Spar_4;722572;722604|WT	0;0;0;0;0;27;7;0;0;10;0	0.000;0.000;0.000;0.000;0.000;16.046;4.019;0.000;0.000	10	0.514	0	0.000	0.000	0.765	2	20.065
YHR149C|Spar_8;375200;375182|WT	0;0;0;0;22;0;0;0;1;29;0	0.000;0.000;0.000;0.000;15.708;0.000;0.000;0.000;0.681	29	1.490	0	0.000	0.000	0.666	2	16.389
YDR158W|chrIV;770348;770356|WT	0;0;0;0;0;0;10;0;0;4;0	0.000;0.000;0.000;0.000;0.000;0.000;5.742;0.000;0.000	4	0.206	0	0.000	0.000	0.877	1	5.742
YDR395W|chrIV;1263215;1263323|1263282,1263348,AAG,CGACGA	9;81;2;753;1917;1856;385;195;20;1803;2188	5.040;40.543;2.000;547.439;1368.714;1103.005;221.052;116.668;13.626	1803	92.653	2188	225.108	2.430	0.661	9	3418.087
YNL254C|chrXIV;169296;169248|169296,AAG	0;1;0;0;27;332;170;82;1;146;275	0.000;0.501;0.000;0.000;19.278;197.305;97.607;49.060;0.681	146	7.503	275	28.293	3.771	0.797	6	364.432
YJR060W|chrX;548715;548758|WT	0;0;0;0;2;0;20;0;139;61;113	0.000;0.000;0.000;0.000;1.428;0.000;11.483;0.000;94.702	61	3.135	113	11.626	3.708	0.980	3	107.613
YGR125W|Spar_7;718669;718680|WT	0;0;0;0;0;0;0;0;0;4;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	4	0.206	0	0.000	0.000	TooLow	0	0
YOR269W|Spar_15;766751;766853|WT	5;1270;4693;761;6;5;6;67;4;4468;1990	2.800;635.674;4693.000;553.255;4.284;2.971;3.445;40.086;2.725	4468	229.602	1990	204.737	0.892	0.289	9	5938.24
YJL059W|Spar_10;313909;313928|WT	0;0;0;0;0;13;13;0;5;10;70	0.000;0.000;0.000;0.000;0.000;7.726;7.464;0.000;3.407	10	0.514	70	7.202	14.012	0.843	3	18.597
YPL218W|Spar_16;163460;163529|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YKL164C|chrXI;142894;142819|142873,142822,AAG	0;3;1;0;0;21;194;242;593;204;368	0.000;1.502;1.000;0.000;0.000;12.480;111.387;144.788;404.018	204	10.483	368	37.861	3.612	0.964	6	675.175
YLR446W|chrXII;1025148;1025213|WT	0;4;2;49;574;2025;703;125;38;777;174	0.000;2.002;2.000;35.624;409.829;1203.441;403.635;74.787;25.890	777	39.929	174	17.902	0.448	0.748	8	2157.208
YDR441C|Spar_4;1322826;1322740|WT	86;101;4165;11266;3214;699;379;4;10;12010;3285	48.158;50.554;4165.000;8190.501;2294.756;415.410;217.607;2.393;6.813	12010	617.172	3285	337.970	0.548	0.447	9	15391.192
YIL145C|Spar_9;58094;58032|WT	1;0;0;176;407;192;0;0;0;177;0	0.560;0.000;0.000;127.954;290.593;114.104;0.000;0.000;0.000	177	9.096	0	0.000	0.000	0.616	4	533.211
YMR313C|Spar_13;849517;849479|WT	0;1;0;0;26;38;0;0;7;46;117	0.000;0.501;0.000;0.000;18.564;22.583;0.000;0.000;4.769	46	2.364	117	12.037	5.092	0.712	4	46.417
YGR167W|Spar_7;798628;798686|WT	0;0;0;24;208;446;487;49;7;88;0	0.000;0.000;0.000;17.448;148.509;265.054;279.616;29.316;4.769	88	4.522	0	0.000	0.000	0.773	6	744.712
YKL195W|chrXI;75786;75820|WT	0;0;0;0;0;0;0;39;37;6;23	0.000;0.000;0.000;0.000;0.000;0.000;0.000;23.334;25.209	6	0.308	23	2.366	7.682	0.986	2	48.543
YOR384W|chrXV;1061448;1061563|1061497,AAG	3490;5;0;3;156;2;3;3;0;2638;0	1954.333;2.503;0.000;2.181;111.382;1.189;1.722;1.795;0.000	2638	135.562	0	0.000	0.000	0.052	7	2075.105
YBR199W|chrII;618815;618908|WT	14;17;998;4575;1009;364;200;1;2;4235;5002	7.840;8.509;998.000;3326.073;720.414;216.322;114.832;0.598;1.363	4235	217.629	5002	514.620	2.365	0.465	9	5393.951
YIL095W|Spar_9;165525;165657|WT	3;3;89;41;481;1117;1187;927;75;1132;1	1.680;1.502;89.000;29.807;343.428;663.824;681.528;554.620;51.098	1132	58.171	1	0.103	0.002	0.800	9	2416.487
YHR144C|chrVIII;388732;388726|WT	0;0;0;0;6;15;2;2;0;3;0	0.000;0.000;0.000;0.000;4.284;8.914;1.148;1.197;0.000	3	0.154	0	0.000	0.000	0.750	4	15.543
YMR221C|chrXIII;715466;715445|WT	0;0;0;0;0;23;0;0;0;12;0	0.000;0.000;0.000;0.000;0.000;13.669;0.000;0.000;0.000	12	0.617	0	0.000	0.000	0.732	1	13.669
YBR023C|Spar_2;259800;259666|WT	0;0;0;0;80;23;1;742;181;275;0	0.000;0.000;0.000;0.000;57.119;13.669;0.574;443.935;123.317	275	14.132	0	0.000	0.000	0.942	5	638.614
YCR068W|chrIII;237091;237213|WT	4;2;261;930;1063;1120;127;0;1;1881;2385	2.240;1.001;261.000;676.120;758.969;665.607;72.918;0.000;0.681	1881	96.661	2385	245.375	2.539	0.582	8	2438.536
YOR155C|chrXV;628001;627980|WT	1;0;0;0;10;3;22;18;0;20;0	0.560;0.000;0.000;0.000;7.140;1.783;12.632;10.769;0.000	20	1.028	0	0.000	0.000	0.820	5	32.884
YLR248W|Spar_12;593749;593805|WT	2;1;2;1;42;250;523;215;59;344;199	1.120;0.501;2.000;0.727;29.987;148.573;300.286;128.634;40.197	344	17.678	199	20.474	1.158	0.852	9	652.025
YEL050W-A|Spar_5;39015;39178|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YMR200W|chrXIII;664650;664751|664699,664723,ATG	494;3263;2;1;4;452;5;2;0;2974;1	276.630;1633.230;2.000;0.727;2.856;268.620;2.871;1.197;0.000	2974	152.828	1	0.103	0.001	0.160	8	2188.131
YBR120C|Spar_2;453608;453524|WT	13;13;5;7;2005;4969;2506;1041;212;3467;8795	7.280;6.507;5.000;5.089;1431.545;2953.036;1438.845;622.826;144.438	3467	178.163	8795	904.854	5.079	0.771	9	6614.566
YJL059W|chrX;324928;324963|324937,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YER154W|Spar_5;480765;480785|480783,AAG	0;0;0;0;0;4;0;13;4;22;5	0.000;0.000;0.000;0.000;0.000;2.377;0.000;7.778;2.725	22	1.131	5	0.514	0.454	0.926	3	12.88
YHR132C|Spar_8;348720;348651|348660,AAG	5;4;1;2;44;474;995;845;690;829;2055	2.800;2.002;1.000;1.454;31.415;281.694;571.289;505.560;470.105	829	42.601	2055	211.424	4.963	0.904	9	1867.319
YNL289W|chrXIV;87758;87896|87765,AAG	0;164;0;0;0;0;0;0;0;36;0	0.000;82.087;0.000;0.000;0.000;0.000;0.000;0.000;0.000	36	1.850	0	0.000	0.000	0.087	1	82.087
YLR459W|Spar_12;1003471;1003486|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNL225C|chrXIV;224516;224469|WT	1;0;0;5;48;220;406;15;16;107;659	0.560;0.000;0.000;3.635;34.271;130.744;233.109;8.974;10.901	107	5.499	659	67.800	12.330	0.812	7	422.194
YJR107W|chrX;627184;627339|627295,AAG	0;104;0;0;0;0;0;0;0;63;0	0.000;52.055;0.000;0.000;0.000;0.000;0.000;0.000;0.000	63	3.237	0	0.000	0.000	0.087	1	52.055
YPL063W|chrXVI;429814;429938|429910,429938,ATG	10597;4774;117;6;11;12;16;7;5;9607;795	5934.115;2389.532;117.000;4.362;7.854;7.132;9.187;4.188;3.407	9607	493.686	795	81.792	0.166	0.042	9	8476.777
YCR087C-A|Spar_3;248726;248704|WT	1;0;0;0;1;0;0;20;31;14;121	0.560;0.000;0.000;0.000;0.714;0.000;0.000;11.966;21.121	14	0.719	121	12.449	17.314	0.953	4	34.361
YER174C|chrV;539297;539168|WT	2;3;78;0;1;0;262;576;86;911;0	1.120;1.502;78.000;0.000;0.714;0.000;150.430;344.618;58.593	911	46.815	0	0.000	0.000	0.861	7	634.977
YKL184W|chrXI;96604;96756|96700,96742,AAG,CGACGA	1;0;0;220;1;530;1;0;0;114;0	0.560;0.000;0.000;159.942;0.714;314.975;0.574;0.000;0.000	114	5.858	0	0.000	0.000	0.636	5	476.765
YDR379C-A|chrIV;1233562;1233517|WT	0;0;1;10;7;159;280;110;83;96;151	0.000;0.000;1.000;7.270;4.998;94.492;160.765;65.813;56.549	96	4.933	151	15.535	3.149	0.861	7	390.887
YIR042C|chrIX;436095;435983|436005,AAG	1880;1199;0;2;2;70;3;0;0;1936;452	1052.764;600.136;0.000;1.454;1.428;41.600;1.722;0.000;0.000	1936	99.487	452	46.503	0.467	0.060	6	1699.104
YOR297C|chrXV;875362;875321|875361,AAG	0;0;0;0;34;0;0;0;0;12;42	0.000;0.000;0.000;0.000;24.276;0.000;0.000;0.000;0.000	12	0.617	42	4.321	7.003	0.645	1	24.276
YIL024C|chrIX;309211;309171|WT	1;0;0;0;0;2;34;50;34;45;0	0.560;0.000;0.000;0.000;0.000;1.189;19.521;29.915;23.165	45	2.312	0	0.000	0.000	0.937	5	74.35
YCR011C|chrIII;137024;136873|137015,AAG	2;0;0;0;0;42;0;0;0;392;0	1.120;0.000;0.000;0.000;0.000;24.960;0.000;0.000;0.000	392	20.144	0	0.000	0.000	0.679	2	26.08
YLR203C|Spar_12;517232;517176|WT	0;0;0;1;142;120;2;0;0;56;0	0.000;0.000;0.000;0.727;101.386;71.315;1.148;0.000;0.000	56	2.878	0	0.000	0.000	0.682	4	174.576
YKL002W|Spar_11;452614;452691|WT	131;2431;81;2;4;2;4;2;0;1381;938	73.357;1216.789;81.000;1.454;2.856;1.189;2.297;1.197;0.000	1381	70.967	938	96.504	1.360	0.101	8	1380.139
YLL041C|chrXII;54008;53931|WT	2;90;36;400;1284;62;127;1;0;779;0	1.120;45.048;36.000;290.804;916.760;36.846;72.918;0.598;0.000	779	40.031	0	0.000	0.000	0.590	8	1400.094
YDR027C|Spar_4;506085;505983|WT	7;3;5;457;3868;2179;915;302;39;3237;716	3.920;1.502;5.000;332.244;2761.704;1294.962;525.357;180.685;26.571	3237	166.344	716	73.664	0.443	0.690	9	5131.945
YER037W|chrV;225865;225888|WT	0;0;0;0;0;1;15;32;63;36;73	0.000;0.000;0.000;0.000;0.000;0.594;8.612;19.145;42.923	36	1.850	73	7.510	4.059	0.973	4	71.274
YOR023C|chrXV;377873;377712|377726,AAG	4;2761;427;240;1;0;1;1;0;1498;0	2.240;1381.964;427.000;174.483;0.714;0.000;0.574;0.598;0.000	1498	76.979	0	0.000	0.000	0.163	7	1987.573
YDR246W-A|chrIV;954988;955132|WT	1;0;510;488;190;0;0;0;0;660;0	0.560;0.000;510.000;354.781;135.658;0.000;0.000;0.000;0.000	660	33.916	0	0.000	0.000	0.394	4	1000.999
YNL037C|Spar_14;541094;540990|WT	0;1;75;61;0;0;0;0;0;163;0	0.000;0.501;75.000;44.348;0.000;0.000;0.000;0.000;0.000	163	8.376	0	0.000	0.000	0.347	3	119.849
YJR089W|Spar_10;563753;563861|563854,AAG	810;215;3087;4665;1022;7;189;3;3;6513;5157	453.584;107.614;3087.000;3391.504;729.695;4.160;108.516;1.795;2.044	6513	334.691	5157	530.566	1.585	0.381	9	7885.912
YPL096C-A|Spar_16;391839;391797|391819,AAG	1;11;2;122;125;77;25;0;0;86;20	0.560;5.506;2.000;88.695;89.248;45.760;14.354;0.000;0.000	86	4.419	20	2.058	0.466	0.585	7	246.123
YCR027C|chrIII;168131;167999|168099,168003,AAG,CGACGA	9;6;5;914;2994;966;806;3;1;3745;0	5.040;3.003;5.000;664.488;2137.679;574.086;462.773;1.795;0.681	3745	192.449	0	0.000	0.000	0.650	9	3854.545
YGR285C|Spar_7;1008822;1008812|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
