Construct	RawFACS	NormFACS	RawDNA	NormDNA	RawRNA	NormRNA	TxnLevl	YFP2mCherry	NonZeroBins	TotalFacsReads
YIL094C|Spar_9;169464;169415|WT	0;0;0;0;1;67;32;10;0;24;68	0.000;0.000;0.000;0.000;0.427;45.031;20.242;9.987;0.000	24	1.339	68	4.786	3.574	0.792	4	75.687
YIR031C|chrIX;414803;414679|WT	9904;1877;56;8;7;9;6;2;3;5741;12	5408.333;1877.000;37.506;4.165;2.987;6.049;3.795;1.997;1.333	5741	320.350	12	0.845	0.003	0.038	9	7343.165
YEL068C|Spar_5;5962;5956|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YBL031W|chrII;161668;161698|161695,AAG	0;0;0;0;0;1;47;9;10;23;76	0.000;0.000;0.000;0.000;0.000;0.672;29.730;8.989;4.444	23	1.283	76	5.349	4.169	0.912	4	43.835
YBR254C|Spar_2;704191;704173|WT	0;0;0;0;0;32;5;5;0;7;78	0.000;0.000;0.000;0.000;0.000;21.507;3.163;4.994;0.000	7	0.391	78	5.490	14.041	0.777	3	29.664
YHR006W|Spar_8;96399;96414|WT	0;0;0;0;0;0;0;0;14;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.222	0	0.000	0	0.000	LowReads	1.000	1	6.222
YEL012W|Spar_5;110425;110564|WT	0;0;0;0;0;14;0;194;0;111;0	0.000;0.000;0.000;0.000;0.000;9.409;0.000;193.753;0.000	111	6.194	0	0.000	0.000	0.943	2	203.162
YOR020W-A|Spar_15;357455;357518|WT	0;30;1;0;4;51;237;157;192;118;357	0.000;30.000;0.670;0.000;1.707;34.277;149.917;156.800;85.330	118	6.584	357	25.127	3.816	0.862	7	458.701
YLR153C|Spar_12;431029;430961|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YHR180W|Spar_8;443915;443971|443938,AAG	0;0;26;1;92;2;14;6;24;85;272	0.000;0.000;17.414;0.521;39.251;1.344;8.856;5.992;10.666	85	4.743	272	19.144	4.036	0.630	7	84.044
YGR144W|chrVII;780225;780398|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YPL168W|chrXVI;231094;231216|WT	4;51;48;1667;2127;92;0;0;1;1329;134	2.184;51.000;32.148;867.877;907.474;61.833;0.000;0.000;0.444	1329	74.159	134	9.431	0.127	0.490	7	1922.96
YIL139C|Spar_9;69673;69507|WT	1;35;151;0;1;1;0;0;1;391;0	0.546;35.000;101.133;0.000;0.427;0.672;0.000;0.000;0.444	391	21.818	0	0.000	0.000	0.235	6	138.222
YAL031C|Spar_1;62301;62254|WT	0;1;0;0;0;50;0;8;4;21;0	0.000;1.000;0.000;0.000;0.000;33.605;0.000;7.990;1.778	21	1.172	0	0.000	0.000	0.742	4	44.373
YNL054W|Spar_14;505313;505381|WT	3;201;1885;814;198;8;19;1;1;1014;1	1.638;201.000;1262.487;423.786;84.476;5.377;12.019;0.999;0.444	1014	56.582	1	0.070	0.001	0.305	9	1992.226
YOR186C-A|Spar_15;630473;630453|WT	0;15;0;0;0;0;0;0;1;11;88	0.000;15.000;0.000;0.000;0.000;0.000;0.000;0.000;0.444	11	0.614	88	6.194	10.088	0.132	2	15.444
YCR034W|Spar_3;174140;174166|WT	0;0;0;1;0;0;15;12;11;17;113	0.000;0.000;0.000;0.521;0.000;0.000;9.488;11.985;4.889	17	0.949	113	7.953	8.380	0.921	4	26.883
YDR470C|chrIV;1401293;1401214|1401255,1401237,WT,CGACGA	50;6;4;803;8991;3704;793;75;121;3227;5607	27.304;6.000;2.679;418.059;3835.966;2489.464;501.620;74.905;53.776	3227	180.068	5607	394.642	2.192	0.642	9	7409.773
YDR034C|chrIV;512234;512109|512204,512186,AAG	0;0;1;84;611;834;1596;95;0;1882;1042	0.000;0.000;0.670;43.732;260.680;560.533;1009.565;94.879;0.000	1882	105.016	1042	73.340	0.698	0.792	6	1970.059
YGR065C|chrVII;619968;619858|619968,AAG	0;0;394;1775;169;2;1;1;0;579;373	0.000;0.000;263.883;924.104;72.103;1.344;0.633;0.999;0.000	579	32.308	373	26.253	0.813	0.396	6	1263.066
YNL240C|Spar_14;183601;183558|WT	0;0;0;30;208;20;26;0;0;101;108	0.000;0.000;0.000;15.619;88.742;13.442;16.447;0.000;0.000	101	5.636	108	7.601	1.349	0.614	4	134.25
YKL207W|chrXI;48162;48193|WT	0;0;0;20;81;33;39;0;0;44;148	0.000;0.000;0.000;10.412;34.558;22.179;24.670;0.000;0.000	44	2.455	148	10.417	4.243	0.677	4	91.819
YDR381W|chrIV;1236460;1236557|1236510,1236522,AAG	0;0;0;0;0;96;0;1;0;106;244	0.000;0.000;0.000;0.000;0.000;64.522;0.000;0.999;0.000	106	5.915	244	17.174	2.903	0.720	2	65.521
YOR138C|chrXV;586378;586324|WT	0;0;0;0;52;37;238;39;218;163;0	0.000;0.000;0.000;0.000;22.186;24.868;150.549;38.950;96.885	163	9.095	0	0.000	0.000	0.895	5	333.438
YLL062C|Spar_12;4441;4296|4431,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YER022W|Spar_5;199944;199982|WT	0;0;0;0;38;65;0;0;0;45;99	0.000;0.000;0.000;0.000;16.213;43.687;0.000;0.000;0.000	45	2.511	99	6.968	2.775	0.678	2	59.9
YJR001W|chrX;436745;436801|WT	1;1;63;696;624;2;0;57;13;638;1358	0.546;1.000;42.195;362.353;266.227;1.344;0.000;56.928;5.778	638	35.601	1358	95.581	2.685	0.511	8	736.371
YER017C|chrV;191869;191788|WT	2;2;67;78;2452;582;382;170;0;1285;2130	1.092;2.000;44.874;40.609;1046.134;391.163;241.638;169.784;0.000	1285	71.703	2130	149.918	2.091	0.667	8	1937.294
YNR018W|chrXIV;664219;664269|664222,664273,AAG,CGACGA	2;3;0;105;919;226;281;1;2;504;317	1.092;3.000;0.000;54.665;392.087;151.895;177.749;0.999;0.889	504	28.123	317	22.312	0.793	0.662	8	782.376
YDR516C|chrIV;1476528;1476476|1476508,1476476,AAG	0;0;2;8;35;335;222;143;285;212;1337	0.000;0.000;1.340;4.165;14.933;225.154;140.428;142.818;126.661	212	11.830	1337	94.103	7.955	0.853	7	655.499
YGR188C|Spar_7;842190;842132|842158,AAG	0;0;0;69;590;46;1;1;0;335;1537	0.000;0.000;0.000;35.923;251.721;30.917;0.633;0.999;0.000	335	18.693	1537	108.180	5.787	0.577	5	320.193
YER006W|Spar_5;163831;163871|WT	0;0;0;2;33;126;77;34;0;68;514	0.000;0.000;0.000;1.041;14.079;84.685;48.707;33.957;0.000	68	3.794	514	36.177	9.535	0.792	5	182.469
YFL052W|chrVI;28222;28231|WT	0;0;0;0;0;0;0;3;0;1;40	0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.996;0.000	1	0.056	40	2.815	50.268	0.955	1	2.996
YGL172W|Spar_7;180687;180715|WT	0;0;0;5;25;54;83;21;0;41;244	0.000;0.000;0.000;2.603;10.666;36.293;52.502;20.973;0.000	41	2.288	244	17.174	7.506	0.811	5	123.037
YFL010W-A|chrVI;114813;114989|114950,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YOL047C|chrXV;242773;242747|WT	0;1;0;0;4;0;144;48;62;37;179	0.000;1.000;0.000;0.000;1.707;0.000;91.089;47.939;27.554	37	2.065	179	12.599	6.101	0.913	5	169.289
YML068W|chrXIII;137450;137549|WT	3058;166;2;1;4;3;236;0;0;1332;0	1669.899;166.000;1.340;0.521;1.707;2.016;149.284;0.000;0.000	1332	74.326	0	0.000	0.000	0.092	7	1990.767
YPL104W|chrXVI;355679;355699|WT	0;0;0;0;0;0;0;12;6;19;58	0.000;0.000;0.000;0.000;0.000;0.000;0.000;11.985;2.667	19	1.060	58	4.082	3.851	0.964	2	14.652
YPL097W|chrXVI;364931;364951|WT	1;0;2;0;5;23;25;7;16;29;156	0.546;0.000;1.340;0.000;2.133;15.458;15.814;6.991;7.111	29	1.618	156	10.980	6.786	0.806	7	49.393
YBR244W|chrII;707491;707527|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YLL042C|Spar_12;39910;39874|WT	56;0;0;0;0;0;0;0;0;9;0	30.580;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	9	0.502	0	0.000	0.000	0.019	1	30.58
YHR163W|Spar_8;402235;402243|WT	0;0;0;0;9;3;7;0;0;4;10	0.000;0.000;0.000;0.000;3.840;2.016;4.428;0.000;0.000	4	0.223	10	0.704	3.157	0.744	3	10.284
YMR158W|chrXIII;572191;572247|WT	82;0;1;0;151;427;187;1;0;142;779	44.778;0.000;0.670;0.000;64.423;286.987;118.289;0.999;0.000	142	7.924	779	54.829	6.919	0.678	6	516.146
YIL034C|chrIX;290102;290089|WT	0;0;0;0;0;0;0;0;0;2;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	2	0.112	0	0.000	0.000	TooLow	0	0
YJL077W-B|chrX;294037;294046|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YDR079C-A|chrIV;603838;603811|WT	0;0;0;0;0;0;0;0;27;4;40	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;11.999	4	0.223	40	2.815	12.623	1.000	1	11.999
YMR094W|Spar_13;434884;434942|434933,AAG	596;111;24;0;1;1;1;1;0;544;388	325.461;111.000;16.074;0.000;0.427;0.672;0.633;0.999;0.000	544	30.355	388	27.309	0.900	0.050	7	455.266
YPL078C|Spar_16;433848;433791|WT	0;1;0;0;1;69;400;109;92;348;1286	0.000;1.000;0.000;0.000;0.427;46.375;253.024;108.861;40.887	348	19.419	1286	90.514	4.661	0.893	6	450.574
YGR057C|chrVII;605556;605501|605526,605502,WT,CGACGA	3;326;1;1;0;0;2;0;0;155;114	1.638;326.000;0.670;0.521;0.000;0.000;1.265;0.000;0.000	155	8.649	114	8.024	0.928	0.084	5	330.094
YDL160C-A|chrIV;169636;169608|169636,AAG	0;0;0;0;0;0;5;0;0;16;86	0.000;0.000;0.000;0.000;0.000;0.000;3.163;0.000;0.000	16	0.893	86	6.053	6.778	0.890	1	3.163
YPR141C|chrXVI;818058;817923|WT	1;0;1;135;0;865;444;0;49;422;175	0.546;0.000;0.670;70.284;0.000;581.368;280.857;0.000;21.777	422	23.548	175	12.317	0.523	0.750	6	955.502
YDR274C|chrIV;1012121;1011960|1012069,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YLR014C|Spar_12;163209;163165|WT	6;0;0;0;0;0;0;0;0;4;0	3.276;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	4	0.223	0	0.000	0.000	0.019	1	3.276
YJL145W|Spar_10;137043;137063|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YER095W|Spar_5;360813;360867|WT	1;0;1;355;1133;560;82;10;1;791;2582	0.546;0.000;0.670;184.821;483.389;376.377;51.870;9.987;0.444	791	44.138	2582	181.731	4.117	0.616	8	1108.104
YHR002W|chrVIII;108686;108811|108765,108811,AAG,CGACGA	15;4;5;31;4391;7579;3134;132;3;5077;818	8.191;4.000;3.349;16.139;1873.399;5093.858;1982.442;131.832;1.333	5077	283.298	818	57.574	0.203	0.728	9	9114.543
YJL004C|chrX;432213;432200|WT	1;0;0;0;0;0;0;6;17;8;45	0.546;0.000;0.000;0.000;0.000;0.000;0.000;5.992;7.555	8	0.446	45	3.167	7.101	0.917	3	14.093
YEL022W|chrV;111353;111420|111365,111428,ATG	1251;385;1;55;4;2;0;1;0;485;118	683.141;385.000;0.670;28.634;1.707;1.344;0.000;0.999;0.000	485	27.063	118	8.305	0.307	0.053	7	1101.495
YDL007W|Spar_4;446023;446062|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YGL013C|chrVII;472433;472298|472342,472298,ATG	845;1992;0;6;2;3;3;1;1;1667;0	461.434;1992.000;0.000;3.124;0.853;2.016;1.898;0.999;0.444	1667	93.019	0	0.000	0.000	0.069	8	2462.768
YDR207C|Spar_4;854679;854622|854639,AAG	2;3;36;42;1815;572;223;41;8;828;1785	1.092;3.000;24.111;21.866;774.361;384.442;141.061;40.948;3.555	828	46.203	1785	125.635	2.719	0.651	9	1394.436
YMR290C|Spar_13;799747;799729|WT	0;0;0;0;0;0;0;6;4;12;27	0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.992;1.778	12	0.670	27	1.900	2.836	0.966	2	7.77
YDR464W|Spar_4;1366746;1366846|WT	2;1;0;3;1243;895;1707;206;152;833;1287	1.092;1.000;0.000;1.562;530.320;601.531;1079.780;205.738;67.553	833	46.482	1287	90.584	1.949	0.789	8	2488.576
YGR186W|chrVII;867745;867773|WT	0;0;0;6;0;71;106;20;16;60;134	0.000;0.000;0.000;3.124;0.000;47.719;67.051;19.975;7.111	60	3.348	134	9.431	2.817	0.836	5	144.98
YER113C|chrV;390210;390052|390196,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YEL064C|Spar_5;11269;11250|11261,AAG	2;0;0;0;0;27;2;0;0;2;1	1.092;0.000;0.000;0.000;0.000;18.147;1.265;0.000;0.000	2	0.112	1	0.070	0.625	0.671	3	20.504
YGL250W|chrVII;31905;31909|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YGL257C|chrVII;14306;14157|14217,AAG	0;0;0;0;0;0;0;0;0;41;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	41	2.288	0	0.000	0.000	TooLow	0	0
YHR091C|chrVIII;286869;286770|286795,AAG	9;1030;2779;376;6;7;3;0;2;2362;1752	4.915;1030.000;1861.247;195.754;2.560;4.705;1.898;0.000;0.889	2362	131.800	1752	123.313	0.936	0.221	8	3101.968
YLR364W|chrXII;854053;854061|WT	0;0;0;0;3;0;52;0;5;9;75	0.000;0.000;0.000;0.000;1.280;0.000;32.893;0.000;2.222	9	0.502	75	5.279	10.516	0.883	3	36.395
YOR290C|chrXV;860396;860258|WT	16;3;61;171;61;1417;4126;3221;4440;3205;1609	8.737;3.000;40.855;89.026;26.025;952.368;2609.942;3216.907;1973.250	3205	178.840	1609	113.248	0.633	0.909	9	8920.11
YGR258C|chrVII;1010794;1010766|WT	0;1;0;10;153;0;0;0;0;7;0	0.000;1.000;0.000;5.206;65.277;0.000;0.000;0.000;0.000	7	0.391	0	0.000	0.000	0.553	3	71.483
YNL272C|Spar_14;112625;112560|WT	0;0;0;75;122;96;0;0;0;138;393	0.000;0.000;0.000;39.047;52.051;64.522;0.000;0.000;0.000	138	7.700	393	27.661	3.592	0.594	3	155.62
YOR196C|Spar_15;658041;657993|658030,AAG	1;0;0;21;280;255;440;0;0;215;523	0.546;0.000;0.000;10.933;119.461;171.386;278.326;0.000;0.000	215	11.997	523	36.811	3.068	0.765	5	580.652
YNR025C|Spar_14;649599;649519|649527,AAG	26;617;37;12;1;1;0;0;0;493;427	14.198;617.000;24.781;6.247;0.427;0.672;0.000;0.000;0.000	493	27.510	427	30.054	1.092	0.089	6	663.325
YLR368W|chrXII;857473;857539|857474,AAG	1;1;0;261;562;29;0;21;0;290;969	0.546;1.000;0.000;135.882;239.775;19.491;0.000;20.973;0.000	290	16.182	969	68.202	4.215	0.548	6	417.667
YLR245C|chrXII;626948;626930|WT	0;0;0;0;0;23;19;9;0;19;56	0.000;0.000;0.000;0.000;0.000;15.458;12.019;8.989;0.000	19	1.060	56	3.941	3.718	0.832	3	36.466
YHR156C|chrVIII;412447;412406|WT	0;0;0;0;0;13;17;0;0;36;0	0.000;0.000;0.000;0.000;0.000;8.737;10.754;0.000;0.000	36	2.009	0	0.000	0.000	0.812	2	19.491
YPL083C|chrXVI;398183;398105|398183,AAG	0;0;3;1000;1626;518;3;0;1;1028;2837	0.000;0.000;2.009;520.622;693.725;348.149;1.898;0.000;0.444	1028	57.363	2837	199.679	3.481	0.555	6	1566.847
YOR341W|chrXV;960861;960986|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YNR050C|Spar_14;691893;691843|WT	0;0;0;0;28;0;61;0;0;34;0	0.000;0.000;0.000;0.000;11.946;0.000;38.586;0.000;0.000	34	1.897	0	0.000	0.000	0.817	2	50.532
YDR311W|chrIV;1085037;1085064|WT	1;1;0;0;18;21;48;12;5;21;0	0.546;1.000;0.000;0.000;7.680;14.114;30.363;11.985;2.222	21	1.172	0	0.000	0.000	0.800	7	67.91
YBR092C|chrII;429130;429101|WT	0;0;0;22;51;5;0;0;0;14;0	0.000;0.000;0.000;11.454;21.759;3.361;0.000;0.000;0.000	14	0.781	0	0.000	0.000	0.542	3	36.574
YKR021W|chrXI;479164;479233|479211,479229,ATG	1844;258;1;134;6;117;2;0;2;1309;117	1006.963;258.000;0.670;69.763;2.560;78.636;1.265;0.000;0.889	1309	73.043	117	8.235	0.113	0.091	8	1418.746
YNR064C|chrXIV;750019;750008|WT	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YOR281C|chrXV;847157;847129|WT	0;0;0;0;0;0;0;11;4;8;45	0.000;0.000;0.000;0.000;0.000;0.000;0.000;10.986;1.778	8	0.446	45	3.167	7.101	0.962	2	12.764
YGR267C|chrVII;1025894;1025735|1025793,1025775,AAG	1;0;79;1144;1671;475;71;0;2;1249;199	0.546;0.000;52.911;595.592;712.924;319.248;44.912;0.000;0.889	1249	69.695	199	14.006	0.201	0.547	7	1727.022
YPL038W|chrXVI;480506;480534|WT	0;31;3;0;0;0;0;0;0;38;172	0.000;31.000;2.009;0.000;0.000;0.000;0.000;0.000;0.000	38	2.120	172	12.106	5.710	0.095	2	33.009
YDR078C|chrIV;602886;602869|WT	0;0;0;0;0;0;75;10;8;29;159	0.000;0.000;0.000;0.000;0.000;0.000;47.442;9.987;3.555	29	1.618	159	11.191	6.917	0.908	3	60.984
YBR092C|Spar_2;401426;401405|WT	0;0;0;0;20;2;6;0;0;34;97	0.000;0.000;0.000;0.000;8.533;1.344;3.795;0.000;0.000	34	1.897	97	6.827	3.599	0.681	3	13.672
YML071C|chrXIII;131633;131572|131615,131573,AAG,CGACGA	1;1;0;0;0;98;793;108;53;181;318	0.546;1.000;0.000;0.000;0.000;65.866;501.620;107.863;23.555	181	10.100	318	22.382	2.216	0.884	6	700.45
YHR210C|chrVIII;521889;521737|521772,521754,AAG	1237;82;0;0;4;2;1;0;1;596;0	675.496;82.000;0.000;0.000;1.707;1.344;0.633;0.000;0.444	596	33.257	0	0.000	0.000	0.031	6	761.624
YER015W|chrV;184459;184540|184476,AAG	3567;2233;348;158;627;8;7;2;3;4082;1470	1947.852;2233.000;233.074;82.258;267.506;5.377;4.428;1.997;1.333	4082	227.777	1470	103.464	0.454	0.100	9	4776.825
YMR025W|Spar_13;313504;313511|WT	0;0;0;0;0;0;1;12;20;10;100	0.000;0.000;0.000;0.000;0.000;0.000;0.633;11.985;8.889	10	0.558	100	7.038	12.613	0.970	3	21.507
YJR114W|chrX;638490;638658|638527,AAG	9020;288;4;36;46;1;4;1;0;3375;481	4925.602;288.000;2.679;18.742;19.626;0.672;2.530;0.999;0.000	3375	188.326	481	33.855	0.180	0.027	8	5258.85
YBR255C-A|chrII;727095;727074|WT	1;0;0;1;9;4;119;33;25;58;74	0.546;0.000;0.000;0.521;3.840;2.688;75.275;32.958;11.111	58	3.236	74	5.208	1.609	0.893	7	126.939
YEL034C-A|chrV;86374;86215|86283,AAG	0;0;0;0;0;0;0;0;0;0;0	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000	0	0.000	0	0.000	LowReads	TooLow	0	0
YOR090C|chrXV;492966;492841|492917,492905,AAG	60;1142;5;79;4;3;3;0;2;901;699	32.765;1142.000;3.349;41.129;1.707;2.016;1.898;0.000;0.889	901	50.276	699	49.198	0.979	0.092	8	1225.753
