Constructs	TotalFacsReads_R1	TotalFacsReads_R2	TotalFacsReads_R3	AverageFacsReads
YBR217W|Spar_2;637778;637833|WT	445.947	474.131	159.18	359.7526666666667
YBR233W-A|Spar_2;664951;664994|WT	128.876	95.244	62.672	95.59733333333334
YDL133W|Spar_4;227188;227313|227257,AAG	77.877	42.138	30.314	50.10966666666666
YDL244W|chrIV;16088;16203|16116,AAG	3559.225	1816.903	3934.141	3103.4230000000002
YDR452W|chrIV;1362739;1362877|1362821,1362851,ATG	3539.39	2495.376	2751.712	2928.8259999999996
YGL009C|chrVII;478723;478652|478700,478655,ATG	2530.927	2166.531	2225.693	2307.717
YGL058W|chrVII;393928;393985|WT	861.318	1328.016	832.77	1007.3679999999999
YHL002W|Spar_8;87569;87732|WT	3359.195	2525.974	2713.37	2866.179666666667
YJR042W|chrX;514031;514054|WT	3857.753	3714.45	2735.83	3436.011
YLR284C|chrXII;707136;707040|707110,AAG	3716.735	4883.827	4166.215	4255.592333333333
YMR083W|Spar_13;413868;413932|WT	1323.047	1209.985	545.576	1026.2026666666668
YNL029C|Spar_14;555805;555725|WT	2245.586	3051.31	2611.567	2636.1543333333334
YOL069W|chrXV;198879;198941|WT	1797.079	1355.462	1054.533	1402.3580000000002
YOL085W-A|chrXV;161473;161578|WT	84.239	229.182	71.833	128.418
YPR085C|chrXVI;709900;709828|WT	38.521	24.016	15.231	25.922666666666668
YPL242C|chrXVI;95185;95109|WT	20.378	43.632	15.605	26.53833333333333
YNL289W|chrXIV;87758;87896|WT	266.831	180.206	152.896	199.97766666666666
YKL169C|chrXI;131147;131068|WT	81.122	15.49	24.617	40.409666666666666
YPR105C|chrXVI;739633;739569|739603,739576,ATG	123.074	323.962	182.457	209.831
YER028C|Spar_5;213333;213216|WT	171.253	144.607	138.379	151.413
YGR213C|chrVII;919620;919465|919581,AAG	527.144	568.649	522.273	539.3553333333334
YOR102W|Spar_15;503681;503765|WT	319.183	470.161	456.326	415.22333333333336
YER028C|Spar_5;213333;213216|213299,AAG	453.116	173.043	531.175	385.77799999999996
YNR027W|Spar_14;651334;651401|WT	4258.416	4528.194	3158.856	3981.822
YOR304C-A|chrXV;888870;888750|888794,AAG	394.129	148.031	425.883	322.68100000000004
YCR014C|Spar_3;123935;123909|123934,AAG	1959.288	923.516	799.426	1227.41
YDR095C|chrIV;636664;636527|636559,AAG	2909.485	3189.379	2192.96	2763.9413333333337
YER110C|chrV;382228;382103|382143,382107,ATG	3985.456	1974.814	2428.283	2796.184333333333
YJL146W|chrX;143263;143291|WT	4884.069	4756.245	4440.174	4693.496
YKL165C|Spar_11;149241;149199|WT	3532.215	3474.306	3420.252	3475.5910000000003
YPL213W|chrXVI;150577;150613|WT	7182.272	6528.344	4596.148	6102.254666666667
YBL004W|chrII;227510;227635|227591,227714,WT,CGACGA	13378.545	10995.369	11341.891	11905.268333333333
YHL014C|chrVIII;77427;77314|77351,AAG	7806.684	11134.405	7562.603	8834.564
YHR210C|chrVIII;521889;521737|521772,521754,WT,CGACGA	12096.281	11070.739	8546.475	10571.165
YKR021W|chrXI;479144;479233|479211,479229,ATG	15129.785	17163.495	11891.882	14728.387333333332
YAR008W|chrI;158863;158965|158888,158918,ATG	83.138	52.342	50.27	61.91666666666668
YDR340W|chrIV;1150748;1150880|1150778,AAG	146.576	144.511	92.54	127.87566666666667
YDR413C|Spar_4;1261316;1261155|1261267,AAG	4390.685	4239.585	3823.831	4151.367
YJL136C|Spar_10;149186;149150|WT	1971.13	1977.819	1108.642	1685.8636666666669
YKR075W-A|chrXI;580096;580211|580173,AAG	740.921	591.725	737.902	690.1826666666667
YNL230C|chrXIV;218750;218662|218672,AAG	282.729	149.647	136.925	189.76699999999997
YPR002W|chrXVI;558263;558384|558304,AAG	1858.499	1787.58	1044.114	1563.3976666666665
YJL150W|Spar_10;128875;129016|128936,AAG	174.341	182.689	140.201	165.74366666666666
YLR400W|chrXII;921951;922062|922001,AAG	9747.329	12663.369	8022.503	10144.400333333333
YDL022C-A|chrIV;410200;410056|WT	8078.939	9677.518	7985.46	8580.639000000001
YGL136C|chrVII;253914;253859|WT	11576.125	12875.182	10337.1	11596.135666666667
YIL069C|chrIX;232404;232369|WT	12146.061	12525.395	9468.35	11379.935333333333
YJL045W|chrX;355914;356023|355999,AAG	9742.18	5425.282	6723.781	7297.080999999999
YJR135W-A|Spar_10;655495;655575|655565,AAG	7407.131	7436.874	6660.408	7168.1376666666665
YKL077W|chrXI;291400;291452|291424,291452,ATG	11547.378	10063.469	9110.439	10240.428666666667
YLR107W|chrXII;364044;364115|364064,AAG	1512.126	1941.916	997.829	1483.957
YLR454W|chrXII;1043858;1043997|1043992,AAG	963.806	1026.377	665.751	885.3113333333334
YMR192W|chrXIII;647037;647117|647078,647105,AAG	1905.967	746.05	1160.545	1270.854
YNL230C|Spar_14;202360;202288|202353,AAG	2844.331	2577.296	1806.802	2409.4763333333335
YER028C|Spar_5;213333;213216|213329,AAG	1009.439	918.69	766.638	898.2556666666666
YJR030C|chrX;486262;486196|486238,486214,WT,CGACGA	274.165	271.538	235.426	260.3763333333333
YPL214C|chrXVI;150275;150191|WT	2624.502	2840.804	2732.43	2732.578666666667
YHL032C|chrVIII;38602;38508|38589,AAG	56.951	82.222	29.748	56.306999999999995
YLR400W|chrXII;921940;922062|922058,AAG	2970.418	2944.471	2391.747	2768.878666666667
YGL007C-A|Spar_7;479699;479603|479619,AAG	1621.956	821.872	1000.611	1148.1463333333334
YJL101C|chrX;236499;236356|236403,236397,ATG	3330.756	2223.902	1583.283	2379.3136666666664
YJL041W|Spar_10;352032;351888|351971,AAG	113.091	132.174	98.819	114.69466666666666
YDR281C|Spar_4;1066896;1066802|1066841,AAG	217.556	82.468	127.064	142.36266666666666
YDR350C|Spar_4;1004130;1004157|WT	102.431	152.146	63.615	106.06400000000001
YJR076C|Spar_10;552837;552763|WT	832.373	415.073	536.035	594.4936666666666
YKL186C|chrXI;93525;93465|93513,AAG	32.805	16.635	6.673	18.704333333333334
YMR270C|chrXIII;806564;806423|806531,806483,WT,CGACGA	241.061	290.393	176.521	235.99166666666665
YNL288W|chrXIV;90161;90302|90250,90292,ATG	25.184	128.059	85.337	79.52666666666666
YOL113W|Spar_15;93663;93832|WT	2264.302	685.871	977.901	1309.358
YGR066C|chrVII;621892;621799|621875,AAG	195.11	512.02	415.082	374.0706666666667
YDR069C|Spar_4;586724;586589|586600,AAG	675.386	1080.01	404.891	720.0956666666666
YGL193C|chrVII;142406;142227|142269,AAG	4093.625	3584.205	2623.205	3433.6783333333333
YGR064W|chrVII;617453;617620|WT	3348.225	2872.926	2359.194	2860.115
YLR299W|chrXII;725889;726068|WT	2328.229	1550.925	1356.618	1745.257333333333
YNL270C|chrXIV;137837;137661|137772,AAG	690.104	892.396	854.058	812.186
YPL167C|chrXVI;237135;237107|237132,237107,ATG	408.22	264.431	501.604	391.41833333333335
YJL150W|Spar_10;128875;129016|128911,AAG	1636.937	2950.851	1501.981	2029.923
YNL179C|Spar_14;285442;285316|WT	1381.212	2069.13	1193.954	1548.0986666666668
YDL080C|chrIV;312590;312471|WT	2542.312	1988.265	2790.665	2440.414
YDL177C|Spar_4;146262;146182|WT	2493.959	2957.8	2461.277	2637.6786666666667
YJR089W|chrX;587581;587717|587710,AAG	82.616	153.2	70.208	102.008
YBR049C|chrII;336920;336818|336890,336863,ATG	460.757	654.724	440.387	518.6226666666666
YGL255W|Spar_7;22942;23024|WT	7494.747	6086.763	3826.005	5802.505
YHL011C|chrVIII;81705;81616|81639,81616,ATG	10343.841	8913.405	6893.583	8716.943
YHR048W|chrVIII;204523;204606|204554,AAG	729.508	73.567	356.893	386.656
YJR051W|Spar_10;505764;505803|WT	539.722	1170.41	337.821	682.651
YNL276C|Spar_14;102329;102268|WT	4691.695	5453.531	3794.287	4646.504333333333
YMR144W|chrXIII;553229;553361|553265,553289,ATG	201.391	316.041	110.643	209.35833333333335
YBL006W-A|chrII;216601;216710|216602,AAG	565.916	260.021	415.453	413.7966666666667
YBR089W|chrII;425029;425182|425123,AAG	35.971	14.467	11.845	20.761
YDL034W|chrIV;391659;391782|WT	12.994	33.319	13.0	19.771
YNL179C|Spar_14;285442;285316|285394,AAG	3072.336	2653.704	3288.139	3004.7263333333335
YOL043C|chrXV;249672;249534|249566,AAG	1837.208	830.684	571.198	1079.6966666666665
YLR160C|chrXII;487446;487289|487406,AAG	3279.106	3044.69	3165.867	3163.221
YOR029W|chrXV;384523;384599|384524,AAG	4128.932	4751.784	4982.905	4621.206999999999
YBR133C|Spar_2;477039;476938|WT	6214.132	5742.661	4746.47	5567.754333333333
YDL238C|chrIV;30482;30454|WT	4730.891	5067.165	2989.788	4262.614666666667
YIR031C|chrIX;414771;414679|414760,AAG	13358.405	17774.557	10295.784	13809.582
YLR289W|chrXII;715034;715088|WT	12080.917	10766.284	10178.16	11008.453666666668
YNL063W|Spar_14;493163;493299|493263,AAG	7449.968	6282.639	5343.642	6358.749666666667
YBR104W|Spar_2;421931;422015|WT	6006.689	5444.425	4261.627	5237.580333333334
YOR090C|chrXV;492922;492841|WT	4491.703	4728.54	3612.406	4277.549666666667
YBL107W-A:1|Spar_12;587533;587449|587511,AAG	10502.654	8253.623	6369.694	8375.323666666667
YOR186C-A|Spar_15;630551;630453|630468,AAG	4787.163	4931.408	3691.759	4470.11
YHR050W|chrVIII;207489;207653|207541,207559,ATG	3303.286	2682.782	2974.773	2986.947
YBR283C|chrII;770544;770415|770479,770449,ATG	1811.963	1311.628	1783.893	1635.8280000000002
YLR046C|chrXII;238964;238813|WT	2872.437	3279.332	2555.024	2902.264333333333
YOR008C-A|chrXV;343253;343081|343153,AAG	2163.811	3019.604	2402.182	2528.532333333333
YBL071C-B|chrII;89720;89556|89632,AAG	155.777	132.376	43.754	110.63566666666668
YDR102C|chrIV;658108;657980|658073,AAG	372.379	250.83	90.159	237.78933333333336
YBR043C|chrII;324071;323945|323976,323945,AAG,CGACGA	1528.694	1502.348	1892.481	1641.1743333333334
YDR407C|chrIV;1288013;1287938|WT	288.573	246.26	185.076	239.96966666666665
YHR048W|Spar_8;182314;182411|182359,AAG	69.958	90.134	70.593	76.895
YIL159W|chrIX;41770;41824|WT	15.0	15.016	12.707	14.241
YLL029W|chrXII;81357;81460|WT	5961.445	9214.652	8415.337	7863.811333333334
YLR251W|chrXII;641339;641463|641374,AAG	11389.425	10176.893	7904.689	9823.669
YBL004W|chrII;227549;227635|227591,227714,AAG,CGACGA	9349.697	9960.591	7584.799	8965.029
YBR255C-A|chrII;727111;727074|WT	41.67	5.005	42.607	29.76066666666667
YDL231C|chrIV;42355;42244|42280,42253,AAG,CGACGA	410.301	305.144	180.67	298.705
YGR221C|chrVII;939079;938992|WT	120.137	149.109	144.482	137.9093333333333
YIR042C|chrIX;436073;435983|436069,AAG	746.063	547.661	100.415	464.71299999999997
YOL017W|Spar_15;277054;277164|277071,AAG	443.318	402.838	382.106	409.42066666666665
YOR219C|Spar_15;695546;695452|695509,AAG	50.76	140.626	0.208	63.864666666666665
YPL038W|Spar_16;499581;499617|WT	543.932	572.827	689.936	602.2316666666667
YBL071C-B|chrII;89720;89556|89569,AAG	291.691	655.939	416.58	454.7366666666666
YER185W|Spar_5;561315;561453|561341,AAG	241.502	487.351	324.228	351.02700000000004
YHR114W|chrVIII;337969;338082|338026,338080,AAG	462.321	512.78	306.805	427.30199999999996
YLL062C|chrXII;17732;17613|WT	448.436	407.696	277.491	377.87433333333337
YMR316C-B|chrXIII;907723;907629|907652,AAG	299.487	578.85	394.758	424.365
YMR316C-B|chrXIII;907723;907629|907694,AAG	142.038	149.104	48.343	113.16166666666669
YIL028W|Spar_9;277080;277246|277239,AAG	73.868	18.936	38.279	43.69433333333333
YMR075C-A|chrXIII;416174;416053|416123,AAG	75.466	147.197	142.441	121.70133333333335
YOR219C|chrXV;755096;755009|755067,755028,WT,CGACGA	81.73	27.228	61.298	56.752
YBL050W|Spar_2;120220;120322|WT	122.757	260.682	325.265	236.23466666666664
YDL125C|chrIV;239780;239606|239656,AAG	30.643	10.178	73.418	38.07966666666667
YBR283C|Spar_2;750424;750278|WT	85.21	65.499	134.054	94.921
YDL013W|chrIV;428931;429066|WT	66.676	132.806	134.164	111.21533333333333
YDR377W|chrIV;1228515;1228610|1228549,1228573,ATG	6846.111	4843.736	4255.682	5315.176333333333
YDR434W|chrIV;1331140;1331236|WT	9017.6	11667.821	8534.696	9740.039
YKR021W|chrXI;479144;479233|479211,479229,AAG	2329.814	2802.589	1990.419	2374.274
YNL044W|chrXIV;545177;545267|545235,545250,ATG	5769.701	4083.532	3796.501	4549.9113333333335
YNL156C|chrXIV;342139;341968|342014,341957,AAG,CGACGA	5462.57	5973.178	3303.181	4912.976333333333
YOL017W|chrXV;292406;292528|WT	25.704	23.024	29.707	26.145
YAL027W|Spar_1;69899;69980|WT	44.551	109.655	56.586	70.26400000000001
YIL031W|Spar_9;266996;267170|267142,AAG	1051.589	1162.99	722.097	978.8919999999998
YER145C-A|chrV;462916;462823|WT	4676.607	3674.02	3663.738	4004.7883333333334
YJR114W|chrX;638490;638658|638617,AAG	2601.513	2865.952	3154.113	2873.8593333333333
YML097C|Spar_13;79181;79167|WT	2776.15	3403.026	1634.313	2604.496333333333
YJL005W|chrX;425012;425156|425045,425084,ATG	523.07	632.339	691.038	615.4823333333334
YJL124C|chrX;187789;187644|187705,187681,ATG	318.113	208.148	221.014	249.09166666666667
YBR179C|chrII;589218;589114|WT	151.459	135.448	70.591	119.16600000000001
YDL177C|chrIV;141773;141721|WT	6845.631	9141.319	5566.344	7184.431333333334
YDR109C|chrIV;675807;675667|675726,AAG	6621.65	5325.952	4828.378	5591.993333333333
YIR029W|Spar_9;386383;386475|386410,AAG	22.589	68.387	49.477	46.81766666666667
YGL013C|chrVII;472433;472298|472342,472298,ATG	601.683	895.416	343.309	613.4693333333333
YLR306W|Spar_12;697546;697621|WT	10.322	23.148	17.085	16.851666666666667
YPR036W-A|chrXVI;645874;645949|645906,645978,ATG	1020.805	808.16	777.859	868.9413333333333
YDL037C|chrIV;385765;385587|WT	602.964	265.005	366.513	411.49399999999997
YDR380W|chrIV;1234112;1234217|1234145,1234166,ATG	1.898	7.987	1.622	3.8356666666666666
YER138W-A|chrV;449319;449473|449388,AAG	4.496	8.338	10.839	7.891000000000001
YGL136C|Spar_7;253382;253239|WT	300.088	398.18	255.837	318.035
YLR215C|Spar_12;537344;537177|537202,AAG	498.689	320.096	457.199	425.32800000000003
YLR408C|chrXII;934330;934253|WT	648.252	328.133	56.747	344.37733333333335
YMR143W|Spar_13;531112;531147|WT	3006.854	3112.169	2206.385	2775.136
YOL035C|Spar_15;243764;243712|243720,AAG	333.508	241.159	41.0	205.2223333333333
YEL072W|chrV;13627;13719|13696,13720,WT,CGACGA	777.395	1745.586	697.188	1073.3896666666667
YLR374C|chrXII;872018;871842|872003,AAG	1884.124	764.568	1152.199	1266.9636666666668
YNL186W|chrXIV;289344;289497|289370,289385,AAG,CGACGA	2320.075	1633.016	1535.752	1829.6143333333332
YPR085C|chrXVI;709915;709828|709843,AAG	2122.967	3167.973	1242.146	2177.6953333333336
YLR046C|chrXII;238964;238813|238911,238839,WT,CGACGA	6032.608	6031.758	6445.574	6169.98
YOL014W|chrXV;299537;299692|299578,299599,WT,CGACGA	4.688	8.502	4.302	5.830666666666667
YAR014C|chrI;169021;168871|168938,168914,AAG	2534.011	2530.356	1983.89	2349.4190000000003
YBR153W|chrII;547409;547459|WT	7467.755	7554.704	6384.855	7135.771333333333
YDL177C|chrIV;141773;141721|141749,141721,WT,CGACGA	8284.884	7979.296	6187.791	7483.990333333334
YGR035C|Spar_7;549133;549040|WT	630.389	584.44	532.033	582.2873333333333
YHL026C|chrVIII;54241;54166|54205,AAG	2994.25	3702.051	1606.566	2767.6223333333332
YIL002C|Spar_9;329783;329623|WT	338.797	883.253	330.018	517.3560000000001
YIL009C-A|chrIX;336221;336212|WT	9848.495	8316.185	5731.015	7965.231666666667
YJR034W|chrX;496618;496682|WT	3729.696	3581.579	2505.973	3272.4159999999997
YNL165W|Spar_14;308068;308143|WT	164.486	141.59	106.723	137.59966666666668
YPL264C|chrXVI;44361;44344|WT	18.528	17.697	25.474	20.566333333333333
YER090W|chrV;337895;337948|337918,337930,AAG	22.437	39.112	26.576	29.375
YMR182C|chrXIII;625280;625167|WT	261.294	245.612	172.881	226.59566666666663
YHR194W|chrVIII;488608;488656|WT	403.19	525.232	292.224	406.882
YLR165C|chrXII;495308;495258|WT	118.014	54.064	77.549	83.209
YPR122W|chrXVI;781941;782044|WT	581.614	465.605	354.322	467.1803333333334
YGL010W|Spar_7;472044;472129|472061,AAG	182.278	160.283	143.664	162.075
YGL199C|chrVII;124212;124042|WT	55.547	95.198	55.83	68.85833333333333
YIR031C|Spar_9;390459;390334|390429,AAG	1437.761	1068.058	302.714	936.1776666666666
YIR042C|chrIX;436095;435983|436005,AAG	732.368	905.688	755.906	797.9873333333334
YKL026C|chrXI;390006;389883|389960,389921,AAG,CGACGA	7.67	486.421	155.083	216.39133333333334
YLR154W-E|chrXII;455337;455432|455416,AAG	16.47	7.168	3.113	8.917
YMR094W|Spar_13;434884;434942|WT	999.514	1504.216	863.76	1122.4966666666667
YOR061W|chrXV;441405;441533|441475,441481,ATG	2350.42	1571.308	2520.7	2147.476
YDL080C|chrIV;312602;312471|WT	1481.948	1191.34	557.391	1076.893
YHL002W|Spar_8;87569;87732|87680,AAG	746.358	2939.966	2157.648	1947.9906666666666
YBR126W-B|Spar_2;463460;463566|463557,AAG	787.087	1653.752	1071.869	1170.9026666666666
YLR070C|chrXII;275307;275211|WT	6840.832	6954.97	5310.701	6368.834333333333
YOR213C|chrXV;745389;745281|WT	2984.526	1725.385	1841.319	2183.7433333333333
YFL029C|chrVI;79200;79161|WT	1732.96	808.383	1169.859	1237.0673333333332
YGR188C|Spar_7;842176;842132|WT	481.773	628.827	463.186	524.5953333333333
YHR078W|Spar_8;232368;232396|232392,AAG	2420.767	2530.68	1875.452	2275.6330000000003
YJR102C|chrX;619888;619765|WT	174.333	346.409	103.643	208.12833333333333
YLR231C|chrXII;607161;607119|WT	589.678	421.467	328.055	446.40000000000003
YMR012W|chrXIII;291005;291133|291094,291112,WT,CGACGA	1396.377	1069.311	556.111	1007.2663333333334
YOR173W|chrXV;657207;657263|657261,AAG	344.263	209.993	313.871	289.37566666666663
YBR274W|Spar_2;729438;729492|WT	12976.18	11431.134	12934.937	12447.417
YBR297W|Spar_2;780285;780343|WT	11548.172	10761.865	10467.882	10925.973
YBL085W|chrII;63739;63875|63803,63815,ATG	34.579	13.984	40.682	29.748333333333335
YDR424C|Spar_4;1297353;1297209|1297233,AAG	602.472	712.282	390.355	568.3696666666666
YHR211W|chrVIII;525318;525391|525324,AAG	1931.632	1374.03	1687.58	1664.414
YGL131C|chrVII;265945;265859|WT	1657.747	2539.788	2455.584	2217.706333333333
YOR102W|chrXV;516303;516422|516321,AAG	94.538	40.835	33.948	56.440333333333335
YDL086C-A|chrIV;302241;302089|WT	34.796	16.747	5.638	19.060333333333332
YHR121W|chrVIII;352675;352755|WT	13.099	13.688	14.756	13.847666666666667
YIR032C|Spar_9;391372;391273|WT	97.919	72.181	52.692	74.264
YHR050W|chrVIII;207489;207653|207541,207559,AAG,CGACGA	644.186	516.393	497.867	552.8153333333333
YIL093C|chrIX;188859;188784|188825,188795,ATG	573.764	409.976	449.589	477.7763333333333
YNL063W|chrXIV;507642;507757|507660,507702,ATG	639.005	938.673	780.308	785.9953333333333
YDR109C|Spar_4;667790;667636|667773,AAG	2683.033	3662.658	1802.222	2715.971
YHL020C|chrVIII;67540;67456|67510,67474,WT,CGACGA	1524.734	1645.785	864.057	1344.8586666666667
YHR138C|Spar_8;356651;356561|356645,AAG	725.349	693.628	700.112	706.3629999999999
